parameter,value
planet_1_rp_r_star,0.02999624430658756
planet_1_rp_r_star_err,1.643424047952005e-05
planet_1_rp_r_star_16,0.029977844972531684
planet_1_rp_r_star_84,0.030002224219191582
planet_1_b,0.10000812566283687
planet_1_b_err,2.600615599010967e-05
planet_1_b_16,0.09998358577739581
planet_1_b_84,0.10003687042676826
planet_1_period,4.651656195753457
planet_1_period_err,1.1363715449199257e-05
planet_1_period_16,4.651651361499868
planet_1_period_84,4.651676719330292
planet_1_t0,1327.44843999514
planet_1_t0_err,0.0005392805488037863
planet_1_t0_16,1327.4482739012144
planet_1_t0_84,1327.4486045278668
planet_1_rho_star,1.5695861264040825
planet_1_rho_star_err,0.0019065386943787183
planet_1_rho_star_16,1.5685316195111947
planet_1_rho_star_84,1.5700623695498594
planet_1_a_r_star,12.157985627822953
planet_1_a_r_star_err,0.004924704516403686
planet_1_a_r_star_16,12.155264323232956
planet_1_a_r_star_84,12.159215823277064
planet_1_t14_hr,2.9999513434727163
planet_1_t14_hr_err,0.0012552602217511524
planet_1_t14_hr_16,2.9996004300326975
planet_1_t14_hr_84,3.0006573551665197
planet_1_rp_earth,2.7635306700655526
planet_1_rp_earth_err,0.12826703399305217
planet_1_rp_earth_16,2.6436465602375385
planet_1_rp_earth_84,2.870137053345184
planet_1_a_au,0.0476952313820139
planet_1_a_au_err,0.002188430483272544
planet_1_a_au_16,0.04565942749213271
planet_1_a_au_84,0.0495417969382766
planet_1_t_eq,1066.4358781651667
planet_1_t_eq_err,36.610052947161876
planet_1_t_eq_16,1036.1184646502638
planet_1_t_eq_84,1110.575826820779
stellar_r_star,0.852
stellar_r_star_err,0.041999999433755875
stellar_m_star,0.9100000262260437
stellar_m_star_err,0.06499999761581421
stellar_teff,5280.0
stellar_teff_err,173.60000610351562
stellar_logg,4.535999774932861
stellar_logg_err,0.08309999853372574
stellar_feh,-0.09000000357627869
stellar_feh_err,
stellar_lum,
stellar_lum_err,
stellar_parallax,9.062315614411387
stellar_parallax_err,0.010062385350465775
stellar_age,
stellar_age_err,
stellar_method,gaia_only
stellar_r_star_unit,solRad
stellar_m_star_unit,solMass
stellar_rho_star_unit,g/cm^3
stellar_rho_star,2.0743997372538363
stellar_rho_star_err,0.3406862931363114
stellar_reference,TIC v8.2+2025A&A...697A.102T+Gaia DR3
stellar_r_star_source,VizieR (TIC8.2)
stellar_r_star_ref,TIC v8.2
stellar_m_star_source,VizieR (TIC8.2)
stellar_m_star_ref,TIC v8.2
stellar_teff_source,VizieR (TIC8.2)
stellar_teff_ref,TIC v8.2
stellar_teff_unit,K
stellar_logg_source,VizieR (TIC8.2)
stellar_logg_ref,TIC v8.2
stellar_logg_unit,log(cm.s-2)
stellar_parallax_source,Gaia
stellar_parallax_ref,Gaia DR3
stellar_parallax_unit,mas
stellar_feh_source,SIMBAD
stellar_feh_ref,2025A&A...697A.102T
stellar_feh_unit,dex
period_d,4.651679415710094
period_source,archive
